DEMAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
_Brazil,84.7961821246411,84.7733095350185,84.7557230539987,84.7427446954138,84.733696473096,84.7279004008774,84.7246784925901,84.7233527620663,84.7232452231381,84.7236778896376,84.723972775397,84.7234518942483,84.7214372600238,84.7172508865555,84.7102147876756,84.6996509772161,84.6848814690093,84.6652282768872,84.6400134146821,84.6085588962259,84.5701867353509,79.7369657116017,80.1345391700418,81.2033117738725,82.7573618658598,84.6107677887695,86.5776078853675,88.4719604984196,90.1079039706916,91.2995166449494,91.8608768639589,92.0398154811092,92.2082097400165,92.3662075687878,92.5139568955298,92.6516056483492,92.7793017553528,92.8971931446472,93.0054277443394,93.1041534825361,93.1935182873439,93.2736700868698,93.3447568092203,93.4069263825024,93.4603267348227,93.505105794288,93.541411489005,93.5693917470806,93.5891944966214,93.6009676657343,93.604859182526
_China,2.47230574042128,4.48910930402938,6.40847688395494,8.2338538472013,9.96868556077178,11.6164173916697,13.1804947068984,14.6643628734612,16.0714672583614,17.4052532286023,18.6691661511873,19.8666513931197,21.0011543214028,22.07612030304,23.0949947050345,24.0612228943897,24.9782502381089,25.8495221031955,26.6784838566527,27.468580865484,28.2232584966925,28.8764805493813,29.921462569187,31.3175325015699,32.9824028409161,34.8337860816117,36.7893947180428,38.7669412445953,40.6841381556554,42.458697945609,44.0083331088423,45.4112404281903,46.799356269839,48.1710025032014,49.5245009976902,50.8581736227182,52.1703422476982,53.459328742043,54.7234549751654,55.9610428164782,57.1704141353943,58.3498908013263,59.4977946836872,60.6124476518896,61.6921715753465,62.7352883234705,63.7401197656746,64.7049877713714,65.6282142099739,66.5081209508947,67.3430298635467
_India,0,0,0,0,2.43038513030779,5.73085014642574,8.61932923820164,11.123288133925,13.2701925618852,15.0875082503718,16.6027009276742,17.8432363220819,18.8365801618844,19.6101981753711,20.1915560908316,20.6081196365552,20.8873545408315,21.0567265319499,21.1437013381999,21.1757446878709,21.1803223092525,19.9610908788954,20.3111162462478,21.2807876144787,22.7494978828481,24.5966399506165,26.7016067170441,28.9437910813912,31.2025859429179,33.3573842008847,35.2875787545517,37.0697252415924,38.8609685441079,40.6615854279999,42.4718526591704,44.2920470035211,46.1224452269539,47.9633240953705,49.8149603746729,51.6776308307627,53.5516122295419,55.4371813369122,57.3346149187755,59.2441897410336,61.1661825695883,63.1008701703414,65.0485293091948,67.0094367520503,68.9838692648096,70.9721036133746,72.9744165636472
_Japan,2.49037941065406,2.94789288720767,3.47558681767474,4.07030751089759,4.72890127571852,5.44821442097987,6.22509325552392,7.056384088193,7.93893322782941,8.86958698327547,9.84519166337348,10.8625935769658,11.9186390328946,13.0101743400024,14.1340458071313,15.2870997431238,16.4661824568221,17.6681402570685,18.8898194527054,20.128066352575,21.3797272655197,22.7052479387285,24.1652145120416,25.7185937275456,27.336338308661,28.9894009788086,30.648734461409,32.285291479883,33.8700247576512,35.3738870181344,36.7678309847531,38.0908831581863,39.4004923876537,40.6952449193872,41.9737269996188,43.2345248745804,44.476224790504,45.6974129936216,46.896675730165,48.0725992463663,49.2237697884574,50.3487736026702,51.4461969352368,52.514626032389,53.5526471403588,54.5588465053782,55.5318103736791,56.4701249914935,57.3723766050532,58.2371514605904,59.0630358043369
_United_States,0,0,0,0,0,1.1475191356974,3.22051040599248,5.16154922073446,6.97341950640843,8.65890518949949,10.2207901964927,11.6618584538732,12.984893888126,14.1926804257362,15.288001993189,16.2736425169693,17.1523859235623,17.9270161394531,18.6003170911268,19.1750727050684,19.654066907763,19.9839411082465,20.9823315019217,22.8703883356084,25.4455765501321,28.5053610863186,31.8472068849935,35.2685788869826,38.5669420331114,41.5397612642056,43.984501521091,46.0869369537659,48.1654322914301,50.2163383437112,52.2360059202368,54.2207858306347,56.1670288845324,58.0710858915576,59.9293076613379,61.738045003501,63.4936487276745,65.1924696434861,66.8308585605633,68.405166288534,69.9117436370257,71.346941415666,72.7071104340826,73.9886015019031,75.1877654287553,76.3009530242667,77.3245150980649
Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,312260,276901,296379,317571,333333,351193,363888,392741,390526,415102,437409,463666,456160,438547,432745,431313,465823,467029,495300,515449,522935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,222955,278132,288813,284694,354852,401114,442586,496290,606279,654484,780008,783049,994392,1086041,1269856,1381355,1522405,1648541,1810864,1986041,2149534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,77581,77789,76005,72609,85136,98787,119299,133547,139647,134720,140437,157334,176361,176245,199835,197631,190238,209262,237057,273081,299905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,96981,94088,94309,109409,109123,96788,109028,95473,98523,100135,106461,109837,103664,114480,129698,146098,151523,168066,175129,185549,197851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,330364,260426,348137,360433,357987,366205,395209,361815,391023,428696,440677,528962,512822,541802,560657,568439,637076,718174,743177,767035,827387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
