,2010,2020,2021,2030,2050
United States,10.2207901964927,19.654066907763,19.9839411082465,53.8050309298677,82.8160219330794
Brazil,84.723972775397,84.5701867353509,79.7369657116017,93.8800172637031,95.860373222578
European Union,22.3304353709279,38.7617307050752,37.5397781534838,68.9442848809135,86.0687464123988
Russia,16.3784117669768,20.1119066462977,19.1420281845814,21.8992264924172,32.0976512784913
China,18.6691661511873,28.2232584966925,28.8764805493813,46.1362620114434,78.8636307203337
India,16.6027009276742,21.1803223092525,19.9610908788954,36.8012734210546,87.6696231816822
Japan,9.84519166337348,21.3797272655197,22.7052479387285,37.71169257507,58.9403465137523
