,2010,2020,2021,2030,2050
United States,10.2207901964927,19.654066907763,19.9839411082465,43.984501521091,77.3245150980649
Brazil,84.723972775397,84.5701867353509,79.7369657116017,91.8608768639589,93.604859182526
European Union,22.3304353709279,38.7617307050752,37.5397781534838,60.8578575178334,77.3706581080275
Russia,16.3784117669768,20.1119066462977,19.1420281845814,21.175340626089,28.9521097291642
China,18.6691661511873,28.2232584966925,28.8764805493813,44.0083331088423,67.3430298635467
India,16.6027009276742,21.1803223092525,19.9610908788954,35.2875787545517,72.9744165636472
Japan,9.84519166337348,21.3797272655197,22.7052479387285,36.7678309847531,59.0630358043369
