3592.473306779,10250.95,0
3557.247608145,10581.925,0
3631.817305007,10929.1,0
3662.224008893,11456.45,0
3716.191050727,12217.175,0
3811.346490705,13039.2,1.1475191356974
3817.374049601,13815.6,3.22051040599248
3890.977207741,14474.25,5.16154922073446
3867.360635155,14769.85,6.97341950640843
3725.345123197,14478.05,8.65890518949949
3889.289875723,15048.975,10.2207901964927
3886.633789006,15599.725,11.6618584538732
3838.802726345,16253.95,12.984893888126
3876.510978475,16843.225,14.1926804257362
3914.50680973,17550.675,15.288001993189
3914.29917567,18206.025,16.2736425169693
3921.11069944,18695.1,17.1523859235623
3888.30564548,19477.35,17.9270161394531
4032.62826743,20533.075,18.6003170911268
3989.37824873,21380.95,19.1750727050684
3967.51664977352,21060.45,19.654066907763
4004,23315.075,19.9839411082465
4046.4067061737,25464.475,20.9823315019217
4084.67467873709,26854.599,22.8703883356084
4119.33170405216,27741.123,25.4455765501321
4150.90556848092,28765.96,28.5053610863186
4179.92405838536,29902.871,31.8472068849935
4206.91496012749,31091.594,35.2685788869826
4232.4060600693,32349.658,38.5669420331114
4256.92514457281,33544.6086922997,41.5397612642056
4281,34653.0114485361,43.984501521091
4305.15841271288,35674.8662687095,46.0869369537659
4329.92816907346,36610.1731528196,48.1654322914301
4355.83705544373,37458.9321008666,50.2163383437112
4383.41285818568,38221.1431128504,52.2360059202368
4413.18336366134,38896.806188771,54.2207858306347
4445.67635823269,39485.9213286285,56.1670288845324
4481.41962826173,39988.4885324228,58.0710858915576
4520.94096011047,40404.5078001539,59.9293076613379
4564.7681401409,40733.9791318218,61.738045003501
4613.42895471504,40976.9025274266,63.4936487276745
4667.45119019488,41133.2779869682,65.1924696434861
4727.36263294241,41203.1055104467,66.8308585605633
4793.69106931965,41186.3850978619,68.405166288534
4866.96428568858,41083.116749214,69.9117436370257
4947.71006841123,40893.3004645029,71.346941415666
5036.45620384957,40616.9362437287,72.7071104340826
5133.73047836562,40254.0240868913,73.9886015019031
5240.06067832137,39804.5639939907,75.1877654287553
5355.97459007883,39268.5559650269,76.3009530242667
5482,38646,77.3245150980649
